,name,co_type,co_hq,No_employee,ratings,reviews,year_old
2446,AIS Glass Soluti...,Private,Gurgaon + 25 more,51-200 Employees (India),3.8,202,38 years old
2447,Syrma Technology,Private,"Chennai,Tamil Nadu + 8 more",201-500 Employees (India),4.0,202,18 years old
2448,NTTF,Private,"Bangalore/Bengaluru,Karnataka + 29 more",501-1k Employees (India),4.0,202,59 years old
2449,Global Indian In...,Private,Singapore + 16 more,201-500 Employees (India),4.3,202,14 years old
2450,Kaynes Technolog...,Private,Mysore + 9 more,501-1k Employees (India),3.5,202,34 years old
2451,BCH Electric,Private,"Delhi/NCR,New Delhi + 23 more",501-1k Employees (India),4.2,202,57 years old
2452,Health Total,Private,"Mumbai,Maharashtra + 11 more",11-50 Employees (India),3.6,202,25 years old
2453,Sistema Shyam Te...,Private,Gurugram + 40 more,1k-5k Employees (India),4.9,202,27 years old
2454,Solara Active Ph...,Public,"Chennai,Tamil Nadu + 11 more",1k-5k Employees (India),3.8,202,4 years old
2455,Capco Technologi...,Private,London + 9 more,1k-5k Employees (India),3.9,202,24 years old
2456,ICRA,Public,"Gurgaon/Gurugram,Haryana + 13 more",201-500 Employees (India),3.8,287,31 years old
2457,Boehringer-Ingel...,Private,Ingelheim + 35 more,1k-5k Employees (India),4.1,201,137 years old
2458,Mungi Group,Private,"Pune,Maharashtra + 3 more",201-500 Employees (India),3.7,201,38 years old
2459,Nuance Transcrip...,Private,"Burlington,Massachusetts + 9 more",1k-5k Employees (India),3.8,201,23 years old
2460,Maharashtra Hybr...,Private,"Jalna,Maharashtra + 43 more",1k-5k Employees (India),4.2,201,58 years old
2461,Boehringer-Ingel...,Private,Ingelheim + 35 more,1k-5k Employees (India),4.1,201,137 years old
2462,Mungi Group,Private,"Pune,Maharashtra + 3 more",201-500 Employees (India),3.7,201,38 years old
2463,Regalix,Private,San Mateo + 2 more,1k-5k Employees (India),3.3,201,17 years old
2464,Kokuyo Camlin,Public,"Mumbai,Maharashtra + 42 more",1k-5k Employees (India),3.9,201,91 years old
2465,Aabasoft,Private,"Kochi/Cochin,Kerala + 4 more",501-1k Employees (India),4.4,201,20 years old
2466,Altruist Custome...,Panchkula + 12 more,12 years old,,3.3,201,10k-50k Employees (Global)
2467,L&T Heavy Engine...,"Surat,Gujarat + 8 more",39 years old,,4.5,201,1k-5k Employees (India)
2468,Talbros,Public,"Gurgaon/Gurugram,Haryana + 11 more",501-1k Employees (India),3.8,241,66 years old
2469,Roop Automotives,Private,"Gurgaon/Gurugram,Haryana + 5 more",501-1k Employees (India),4.3,200,32 years old
2470,Harman Finochem,Private,"Mumbai,Maharashtra + 8 more",501-1k Employees (India),3.8,200,15 years old
2471,Madura Micro Fin...,Private,"Chennai,Tamil Nadu + 63 more",501-1k Employees (India),4.2,200,16 years old
2472,Seven Hills Hosp...,Private,"Mumbai,Maharashtra + 9 more",1k-5k Employees (Global),3.9,200,36 years old
2473,B2x Service Solu...,Private,"Munich,Bavaria + 30 more",201-500 Employees (India),3.4,200,15 years old
2474,Tube Investments...,Public,Chennai + 28 more,1k-5k Employees (India),4.3,200,63 years old
2475,Army Medical Cor...,Govt Organisation,"Delhi/NCR,Delhi + 32 more",50k-1 Lakh Employees (India),4.7,200,258 years old
2476,Uae Exchange & F...,Private,Abu Dhabi + 67 more,501-1k Employees (India),4.0,200,42 years old
2477,Titan Laboratori...,Private,"Mumbai,Maharashtra + 9 more",201-500 Employees (India),3.8,200,18 years old
2478,EMCO,Public,"Mumbai,Maharashtra + 23 more",51-200 Employees (India),3.9,200,58 years old
2479,Kennametal,Public,"Latrobe,Pennsylvania + 7 more",1k-5k Employees (India),3.9,200,84 years old
2480,Holcim,Private,Navi Mumbai + 23 more,1k-5k Employees (India),3.5,200,110 years old
2481,Writer Corporati...,Private,"Mumbai,Maharashtra + 35 more",10k-50k Employees (India),3.7,733,69 years old
2482,Kailash Hospital,Public,Noida + 15 more,5k-10k Employees (India),4.1,199,38 years old
2483,Aliens Group,Private,"Hyderabad/Secunderabad,Telangana + 4 more",501-1k Employees (India),3.9,199,18 years old
2484,Polyplastics Ind...,Private,Tokyo + 12 more,1k-5k Employees (India),3.9,199,52 years old
2485,Indiabulls Real ...,Public,"Mumbai,Maharashtra + 19 more",501-1k Employees (India),4.4,199,16 years old
2486,Healthcare At Ho...,Private,"Noida,Uttar Pradesh + 24 more",201-500 Employees (India),4.2,199,10 years old
2487,Walchandnagar In...,Public,"Mumbai,Maharashtra + 10 more",501-1k Employees (India),3.7,199,114 years old
2488,Stryker,Public,"Kalamazoo,Michigan + 16 more",1k-5k Employees (India),4.3,199,81 years old
2489,ANAROCK Property...,Private,"Mumbai,Maharashtra + 19 more",1k-5k Employees (India),3.9,199,5 years old
2490,Hamilton Housewa...,Private,"Mumbai,Maharashtra + 16 more",1k-5k Employees (India),3.9,199,50 years old
2491,Alfa Laval,Private,"Lund,Skane + 15 more",1k-5k Employees (India),4.1,199,139 years old
2492,Origo Commoditie...,Private,"Gurgaon,Haryana + 43 more",1k-5k Employees (India),3.9,198,12 years old
2493,LT Foods,Public,"Gurgaon/Gurugram,Haryana + 34 more",201-500 Employees (India),4.3,198,32 years old
2494,Munjal Auto Indu...,Public,"Gurgaon/Gurugram,Haryana + 10 more",1k-5k Employees (India),3.9,198,37 years old
2495,Elentec India,Private,"Hwasung City,South Korea + 15 more",11-50 Employees (India),4.0,198,40 years old
2496,Mitsubishi Elect...,Gurgaon/Gurugram + 10 more,,,4.6,198,
2497,Nesma & Partners,Private,Jeddah + 14 more,51-200 Employees (India),4.5,198,41 years old
2498,SML Isuzu,Public,"Chandigarh,Chandigarh + 32 more",501-1k Employees (India),4.0,198,37 years old
2499,Gilbarco Veeder ...,Private,Greensboro + 27 more,1k-5k Employees (India),3.9,198,157 years old
2500,Rane Brake Linin...,Public,"Chennai,Tamil Nadu + 11 more",201-500 Employees (India),4.3,198,58 years old
2501,TIBCO Software,Private,"Palo Alto,California + 7 more",1k-5k Employees (India),4.3,198,25 years old
2502,Polybond India,Private,"Pune,Maharashtra + 6 more",1k-5k Employees (India),3.8,198,44 years old
2503,Mothers Recipe,Private,"Pune,Maharashtra + 34 more",501-1k Employees (India),4.2,198,121 years old
2504,Wolters Kluwer,"Alphen Aan Den Rijn,South Holland + 11 more",186 years old,,3.8,198,1k-5k Employees (India)
2505,NortonLifeLock's...,Private,"Mountain View,California + 3 more",501-1k Employees (India),4.2,498,40 years old
2506,Clariant Chemica...,Public,"Muttenz,Bael-Country + 15 more",501-1k Employees (India),4.3,197,27 years old
2507,East India Udyog,Public,"Ghaziabad,Uttar Pradesh + 28 more",201-500 Employees (India),4.0,197,56 years old
2508,Kirloskar Ferrou...,Public,"Koppal,Karnataka + 9 more",1k-5k Employees (India),4.0,197,31 years old
2509,Lotus Herbals,Private,"Mumbai,Maharashtra + 32 more",1k-5k Employees (India),4.4,197,29 years old
2510,NVH India Auto P...,Private,"Buk-gu,Ulsan + 7 more",201-500 Employees (India),3.7,197,38 years old
2511,Louis Philippe,Private,"Bangalore/Bengaluru,Karnataka + 51 more",1k-5k Employees (India),4.3,197,33 years old
2512,Silver Touch Tec...,Public,"Ahmedabad,Gujarat + 21 more",1k-5k Employees (India),3.7,197,30 years old
2513,Ruby Hall Clinic,NGO/NPO,Pune + 5 more,201-500 Employees (India),4.0,197,63 years old
2514,Sunflag Iron and...,Private,"Nagpur,Maharashtra + 12 more",201-500 Employees (India),4.1,197,38 years old
2515,Sany Heavy Indus...,Private,"Beijing,Beijing + 33 more",501-1k Employees (India),4.0,197,33 years old
2516,Nitco,Public,"Mumbai,Maharashtra + 36 more",1k-5k Employees (India),4.3,197,69 years old
2517,2COMS,Private,"Kolkata,West Bengal + 33 more",10k-50k Employees (India),3.7,197,23 years old
2518,IMS People,Private,Ahmedabad + 16 more,501-1k Employees (India),3.7,197,16 years old
2519,Silver Touch Tec...,Public,"Ahmedabad,Gujarat + 21 more",1k-5k Employees (India),3.7,197,30 years old
2520,Joyalukkas,Private,Dubai + 48 more,201-500 Employees (India),4.0,197,35 years old
2521,Louis Philippe,Private,"Bangalore/Bengaluru,Karnataka + 51 more",1k-5k Employees (India),4.3,197,33 years old
2522,Mahindra Susten,Private,"Mumbai,Maharashtra + 23 more",501-1k Employees (India),4.3,197,12 years old
2523,IKEA,Private,Delft + 13 more,10k-50k Employees (India),4.3,197,79 years old
2524,Mukand,Public,"Mumbai,Maharashtra + 12 more",1k-5k Employees (India),3.9,294,85 years old
2525,Etisalat,Public,"Abu Dhabi,Abu Dhabi + 10 more",1k-5k Employees (India),3.6,233,46 years old
2526,Maxop Engineerin...,"Delhi/NCR,Delhi + 7 more",19 years old,,4.1,196,201-500 Employees (India)
2527,Thryve Digital,LLP,"Chennai,Tamil Nadu + 2 more",1k-5k Employees (India),4.3,196,6 years old
2528,GSP Crop Science,Private,"Ahmedabad,Gujarat + 24 more",501-1k Employees (India),3.8,196,37 years old
2529,Roquette Riddhi ...,Private,Lestrem + 11 more,1k-5k Employees (India),3.7,196,89 years old
2530,Entrata India,Private,"Provo,Utah",501-1k Employees (India),4.3,196,19 years old
2531,Aegon Life Insur...,Private,Mumbai + 33 more,1k-5k Employees (India),3.9,196,15 years old
2532,LanceSoft,Private,Herndon + 15 more,201-500 Employees (India),3.7,196,22 years old
2533,Bsh Household Ap...,"Munich,Munich + 27 more",55 years old,,4.2,196,1k-5k Employees (India)
2534,Luxoft,LLP,Zug + 10 more,1k-5k Employees (India),4.4,196,22 years old
2535,Moody's Analytic...,Private,"New York,New York + 5 more",501-1k Employees (India),3.9,196,15 years old
2536,Amazon seller se...,Hyderabad/Secunderabad + 36 more,50k-1 Lakh Employees (India),,4.4,195,
2537,Gainwell Commosa...,Private,"Kolkata,West Bengal + 38 more",1k-5k Employees (India),4.1,195,78 years old
2538,CMR Engineering ...,Hyderabad + 3 more,12 years old,,4.7,195,201-500 Employees (India)
2539,Hyundai Heavy In...,Public,Ulsan + 20 more,201-500 Employees (India),4.4,195,50 years old
2540,Allanasons,Private,Mumbai + 20 more,501-1k Employees (India),3.7,195,157 years old
2541,National Stock E...,Private,"Mumbai,Maharashtra + 23 more",501-1k Employees (India),3.6,195,30 years old
2542,Raptakos Brett a...,Public,"Mumbai,Maharashtra + 33 more",201-500 Employees (India),3.6,195,92 years old
2543,Axtria,Private,"Berkeley Heights,New Jersey + 5 more",501-1k Employees (India),3.6,195,12 years old
2544,Country Club Ind...,Private,"Hyderabad/Secunderabad,Telangana + 25 more",5k-10k Employees (India),3.4,195,37 years old
2545,Windlas Biotech,Gurugram + 9 more,21 years old,,4.1,195,501-1k Employees (India)
2546,Pepperfry,Private,"Mumbai,Maharashtra + 22 more",201-500 Employees (India),3.6,195,11 years old
2547,IPE Global,Public,New Delhi + 54 more,1k-5k Employees (India),4.2,195,24 years old
2548,McAfee,Private,"Santa Clara,California + 7 more",1k-5k Employees (India),4.0,201,35 years old
2549,Sun Pharma Labor...,"Mumbai,Maharashtra + 32 more",39 years old,,4.2,194,10k-50k Employees (India)
2550,Mfar Constructio...,Private,"Bangalore/Bengaluru,Karnataka + 9 more",501-1k Employees (India),4.0,194,26 years old
2551,Shriram Chits,Private,"Mumbai,Maharashtra + 67 more",1k-5k Employees (India),4.0,194,48 years old
2552,Konecranes,Private,Hyvinkää + 10 more,501-1k Employees (India),4.0,194,47 years old
2553,Mavenir Systems,Private,"Richardson,Texas + 10 more",1k-5k Employees (India),3.9,194,17 years old
2554,Su-Kam Power Sys...,Private,"Gurgaon/Gurugram,Haryana + 41 more",501-1k Employees (India),4.3,194,34 years old
2555,Telecom Network ...,Private,"Noida,Uttar Pradesh + 29 more",501-1k Employees (India),3.9,194,21 years old
2556,Ciena,Private,"Hanover,Maryland + 9 more",1k-5k Employees (India),4.3,194,30 years old
2557,National Organic...,Public,"Mumbai,Maharashtra + 10 more",51-200 Employees (India),4.2,194,47 years old
2558,Bhandari Automob...,Private,"Midnapore,West Bengal + 17 more",501-1k Employees (India),4.0,194,44 years old
2559,Vayam Info Solut...,Noida + 25 more,12 years old,,3.7,194,201-500 Employees (India)
2560,Eastern Condimen...,Private,"Idukki,Kerala + 36 more",1k-5k Employees (India),4.0,194,39 years old
2561,Asian Granito In...,Public,"Ahmedabad,Gujrat + 36 more",1k-5k Employees (India),3.9,194,22 years old
2562,REPCO HOME FINAN...,Public,Chennai + 60 more,501-1k Employees (India),3.8,193,22 years old
2563,Smart Value Prod...,Private,"Delhi/NCR,Delhi + 52 more",51-200 Employees (India),4.3,193,16 years old
2564,Quantiphi Analyt...,Private,"Mumbai,Maharashtra + 5 more",1k-5k Employees (India),3.7,193,9 years old
2565,Krsnaa Diagnosti...,Private,"Pune,Maharashtra + 34 more",51-200 Employees (India),3.7,193,12 years old
2566,Tommy Hilfiger,Private,"Amsterdam,North Holland + 34 more",1k-5k Employees (India),4.3,193,37 years old
2567,Harjai Computers,Private,"Mumbai,Maharashtra + 6 more",201-500 Employees (India),4.4,193,27 years old
2568,Magma HDI Genera...,JV,"Mumbai,Maharashtra + 60 more",1k-5k Employees (India),4.1,193,10 years old
2569,Sharda Universit...,Private,Greater Noida + 10 more,1k-5k Employees (India),3.8,193,13 years old
2570,Lambda Therapeut...,Private,Ahmedabad + 4 more,501-1k Employees (India),3.8,193,24 years old
2571,Delhi Metro Rail...,Public,"Delhi/NCR,New Delhi + 18 more",10k-50k Employees (India),4.0,193,27 years old
2572,Axa XL,Hamilton + 4 more,36 years old,,3.8,193,1k-5k Employees (India)
2573,Smaaash Entertai...,Private,"Mumbai,Maharashtra + 20 more",501-1k Employees (India),3.9,193,13 years old
2574,Madhucon Project...,Public,"Hyderabad/Secunderabad,Telangana + 23 more",1k-5k Employees (India),3.6,336,39 years old
2575,Bses Yamuna Powe...,New Delhi + 2 more,20 years old,,3.6,192,501-1k Employees (India)
2576,Bonace Engineers,Private,"Mumbai,Maharashtra + 22 more",201-500 Employees (India),4.0,192,27 years old
2577,Talwalkars Bette...,Public,"Mumbai,Maharashtra + 52 more",201-500 Employees (India),3.6,192,90 years old
2578,Kirloskar Electr...,Public,"Bangalore/Bengaluru,Karnataka + 19 more",1k-5k Employees (India),3.9,192,76 years old
2579,Park Hospital,"Gurgaon/Gurugram,Haryana + 13 more",40 years old,,3.6,192,501-1k Employees (Global)
2580,CPA Global,Private,"St Helier,New Jersey + 4 more",1k-5k Employees (India),4.0,192,53 years old
2581,A2Z Group,Private,Gurgaon + 35 more,51-200 Employees (India),4.0,192,20 years old
2582,Talwalkars Bette...,Public,"Mumbai,Maharashtra + 52 more",201-500 Employees (India),3.6,192,90 years old
2583,RSPL GHARI DETER...,Kanpur + 52 more,35 years old,,4.3,192,501-1k Employees (India)
2584,Religare,Public,"New Delhi,Delhi + 55 more",10k-50k Employees (India),4.0,1.6k,38 years old
2585,Indo German Tool...,Private,"Ahmedabad,Gujarat + 12 more",51-200 Employees (India),3.9,191,27 years old
2586,National Payment...,Private,"Mumbai,Maharashtra + 9 more",501-1k Employees (India),3.4,191,17 years old
2587,Invesco,Private,"Atlanta,Atlanta + 3 more",1k-5k Employees (India),4.1,191,87 years old
2588,Bharat Dynamics,Private,"Hyderabad/Secunderabad,Telangana + 1 more",1k-5k Employees (India),4.5,191,52 years old
2589,Somic ZF Compone...,Private,"Gurgaon/Gurugram,Haryana + 10 more",201-500 Employees (India),4.3,191,27 years old
2590,Ksb Pumps,Private,"Frankenthal,Rhineland-Palatinate + 28 more",1k-5k Employees (India),3.8,191,151 years old
2591,Aludecor Laminat...,Private,"Kolkata,West Bengal + 25 more",201-500 Employees (India),4.1,191,18 years old
2592,Western Refriger...,Private,"Mumbai,Maharashtra + 25 more",501-1k Employees (India),4.3,191,50 years old
2593,Shivam Infocom,Private,"Delhi/NCR,Delhi + 29 more",1k-5k Employees (India),3.7,191,19 years old
2594,Dnata,Private,"Dubai,Dubai + 17 more",501-1k Employees (India),4.2,191,63 years old
2595,Applied Material...,Private,"Santa Clara,California + 8 more",1k-5k Employees (India),4.4,191,20 years old
2596,Pearl Global Ind...,Public,"Gurgaon/Gurugram,Haryana + 10 more",501-1k Employees (India),3.8,191,35 years old
2597,Mitsui O.S.K. Li...,Private,"Toranomon,Tokyo + 9 more",51-200 Employees (India),4.1,336,138 years old
2598,Kcc Buildcon,Private,"Gurgaon/Gurugram,Haryana + 26 more",201-500 Employees (India),4.0,190,13 years old
2599,Apollo Clinic,Public,Hyderabad + 31 more,201-500 Employees (India),3.9,190,20 years old
2600,Aka Logistics,Public,"Kolkata,West Bengal + 27 more",1k-5k Employees (India),3.3,190,14 years old
2601,Dr. Agarwal's Ey...,Public,"Chennai,Tamil Nadu + 27 more",1k-5k Employees (India),4.1,190,65 years old
2602,TNT Express,Private,"Hoofddorp,North Holand + 29 more",501-1k Employees (India),4.5,190,76 years old
2603,Nuziveedu Seeds,Public,"Hyderabad/Secunderabad,Telangana + 42 more",1k-5k Employees (India),4.2,190,49 years old
2604,GMR Energy,Public,"Delhi,NCT + 23 more",1k-5k Employees (India),4.5,190,26 years old
2605,Allianz Partners,Saint-Ouen + 8 more,8 years old,,4.0,190,501-1k Employees (India)
2606,Mettler-Toledo,Private,"Greifensee,Zurich + 17 more",501-1k Employees (India),3.5,190,76 years old
2607,Jupiter Hospital,Private,"Thane,Maharashtra + 5 more",1k-5k Employees (India),4.1,190,15 years old
2608,TATA Advanced Ma...,Public,"Bangalore/Bengaluru,Karnataka + 1 more",501-1k Employees (India),3.8,190,32 years old
2609,GMR Energy,Public,"Delhi,NCT + 23 more",1k-5k Employees (India),4.5,190,26 years old
2610,CK Birla Group,Private,"Delhi/NCR,New Delhi + 35 more",10k-50k Employees (India),4.0,4k,160 years old
2611,Orchid Chemicals...,Private,"Chennai,Tamil Nadu + 21 more",1k-5k Employees (India),4.1,303,30 years old
2612,Foray Software,Private,"Hyderabad/Secunderabad,Telangana + 13 more",501-1k Employees (India),3.9,189,11 years old
2613,Yalamanchili Sof...,Public,Chennai + 10 more,51-200 Employees (India),3.3,189,21 years old
2614,Zovian Technolog...,Private,Bangalore + 2 more,1-10 Employees (India),4.9,189,6 years old
2615,Petrofac Enginee...,Private,London + 11 more,1k-5k Employees (India),3.8,189,19 years old
2616,CMR Green Techno...,Public,"Faridabad,Haryana + 15 more",1k-5k Employees (India),4.0,189,16 years old
2617,Danske IT,Private,"Bangalore/Bengaluru,Karnataka",1k-5k Employees (India),3.7,189,10 years old
2618,Globus Stores,Private,"Mumbai,Maharashtra + 32 more",501-1k Employees (India),4.0,189,24 years old
2619,ISS SDB Security...,Private,Mumbai + 41 more,1k-5k Employees (India),4.3,189,12 years old
2620,Landis+Gyr,Public,"Zug,Zug + 7 more",501-1k Employees (India),4.1,189,126 years old
2621,Matrix Cellular ...,Private,Delhi + 18 more,51-200 Employees (India),3.1,189,27 years old
2622,Military Enginee...,Public,"Delhi/NCR,Delhi + 48 more",51-200 Employees (India),4.5,189,99 years old
2623,Romsons Group Of...,Private,"Agra,Uttar Pradesh + 33 more",201-500 Employees (India),3.9,189,70 years old
2624,Frigorifico Alla...,Private,"Mumbai,Maharashtra + 17 more",1k-5k Employees (India),4.3,189,36 years old
2625,S Chand Group,Public,New Delhi + 29 more,1k-5k Employees (India),4.1,189,83 years old
2626,People Tech Grou...,Private,Redmond + 4 more,1k-5k Employees (India),3.7,189,16 years old
2627,Bhilai Engineeri...,Public,"Bhilai/Bhillai,Chhattisgarh + 19 more",501-1k Employees (India),3.9,189,62 years old
2628,Instrakart Pvt L...,Bengaluru/Bangalore + 55 more,1k-5k Employees (India),,4.1,189,
2629,Cheil India,Private,Gurugram + 15 more,201-500 Employees (India),3.3,189,19 years old
2630,Tradebulls,Private,"Mumbai,Maharashtra + 15 more",11-50 Employees (India),3.0,189,13 years old
2631,Total,Private,Paris + 32 more,501-1k Employees (India),3.6,247,98 years old
2632,Desun Hospital &...,Private,"Kolkata,West Bengal + 6 more",1k-5k Employees (India),3.8,188,14 years old
2633,L&T Water & Effl...,Chennai + 38 more,5k-10k Employees (India),,4.5,188,
2634,McNROE,Private,Kolkata + 39 more,501-1k Employees (India),3.9,188,36 years old
2635,RCL-PRIYA CEMENT,"Hyderabad/Secunderabad,Telangana + 27 more",48 years old,,4.1,188,1-10 Employees (India)
2636,Supr Daily,Private,"Bangalore,Karnataka + 22 more",11-50 Employees (India),3.9,188,7 years old
2637,63 Moons Technol...,Public,"Mumbai,Maharashtra + 11 more",501-1k Employees (India),3.9,188,34 years old
2638,Zeetech Manageme...,Private,Dehradun + 33 more,1-10 Employees (India),4.5,188,11 years old
2639,Molecular Connec...,Private,"Bangalore/Bengaluru,Karnataka + 17 more",1k-5k Employees (India),3.5,188,21 years old
2640,VVF,Public,Mumbai + 14 more,1k-5k Employees (India),4.0,188,83 years old
2641,Supr Daily,Private,"Bangalore,Karnataka + 22 more",11-50 Employees (India),3.9,188,7 years old
2642,L&T Water & Effl...,Chennai + 38 more,5k-10k Employees (India),,4.5,188,
2643,Ichhapurti.com,Gurgaon/Gurugram + 23 more,,,2.4,188,
2644,Zydus Lifescienc...,"Ahmedabad,Gujarat + 11 more",70 years old,,4.3,188,10k-50k Employees (India)
2645,Grass Roots Rese...,New Delhi + 12 more,51-200 Employees (India),,5.0,188,
2646,Prione Business ...,Private,"Bangalore/Bengaluru,Karnataka + 23 more",501-1k Employees (India),4.3,188,8 years old
2647,Nspira Managemen...,Private,"Hyderabad/Secunderabad,Telangana + 17 more",1k-5k Employees (India),3.8,188,7 years old
2648,Monnet Group,Public,"Raipur,Chhattisgarh + 13 more",501-1k Employees (India),4.1,188,32 years old
2649,Indian Bank,Private,Chennai + 48 more,10k-50k Employees (India),3.8,190,115 years old
2650,e-Centric Soluti...,Private,Hyderabad + 30 more,201-500 Employees (India),3.4,187,20 years old
2651,Weblink In,Private,"New Delhi,Delhi + 5 more",201-500 Employees (India),4.0,187,25 years old
2652,Roki Minda Co,Private,Bawal + 15 more,51-200 Employees (India),4.5,187,12 years old
2653,Jsw Energy,Public,Mumbai + 18 more,1k-5k Employees (India),4.1,187,28 years old
2654,Sata Vikas India,JV,"Aurangabad,Maharashtra + 10 more",51-200 Employees (India),3.8,187,15 years old
2655,Tagros Chemicals,Private,"Chennai,Tamil Nadu + 5 more",51-200 Employees (India),3.8,187,18 years old
2656,Ample Technologi...,Private,"Bangalore/Bengaluru,Karnataka + 19 more",501-1k Employees (India),3.8,187,26 years old
2657,Hyundai Construc...,Private,"Pune,Maharashtra + 25 more",51-200 Employees (India),4.2,187,15 years old
2658,NetApp,Private,"San Jose,California + 3 more",1k-5k Employees (India),4.2,187,30 years old
2659,Johnson Matthey,Private,London + 12 more,501-1k Employees (India),4.1,187,205 years old
2660,Jeeves Consumer ...,Private,"Bangalore,Karnataka + 36 more",5k-10k Employees (India),4.0,187,15 years old
2661,ACB (India),Public,"Gurgaon/Gurugram,Haryana + 17 more",201-500 Employees (India),3.8,187,25 years old
2662,Subway,Private,"Milford,Connecticut + 45 more",1k-5k Employees (India),4.5,187,57 years old
2663,Sapiens,Private,"Holon,Tel Aviv + 2 more",1k-5k Employees (India),3.9,187,40 years old
2664,Amentum,Dubai + 19 more,51-200 Employees (India),,4.6,187,
2665,Halliburton,Private,"Houston,Texas + 18 more",1k-5k Employees (India),3.8,187,103 years old
2666,Red Hat,Private,"Raleigh,North Carolina + 6 more",1k-5k Employees (India),4.6,187,29 years old
2667,Shree Baidyanath...,Private,"Allahabad/Prayagraj,Uttar Pradesh + 26 more",501-1k Employees (India),3.5,186,105 years old
2668,Amoli Organics,"Mumbai,Maharashtra + 6 more",31 years old,,3.9,186,1k-5k Employees (India)
2669,Pfizer Products ...,"New York City,New York + 10 more",173 years old,,4.3,186,1k-5k Employees (India)
2670,Shree Baidyanath...,Private,"Allahabad/Prayagraj,Uttar Pradesh + 26 more",501-1k Employees (India),3.5,186,105 years old
2671,GD Research Cent...,Private,"Hyderabad/Secunderabad,Telangana + 7 more",1k-5k Employees (India),3.8,186,15 years old
2672,Rajasthan Patrik...,Private,"Jaipur,Rajasthan + 35 more",1k-5k Employees (India),3.1,186,66 years old
2673,Simpa Energy,"Bangalore,Karnataka + 29 more",12 years old,,4.2,186,51-200 Employees (India)
2674,ESAB,Public,"Chennai,Tamil Nadu + 18 more",501-1k Employees (India),4.3,186,35 years old
2675,Bombay Rayon Fas...,Public,"Mumbai,Maharashtra + 11 more",5k-10k Employees (India),3.8,186,36 years old
2676,Grey Orange,Private,"Gurgaon,Haryana + 8 more",501-1k Employees (India),3.9,186,11 years old
2677,Delphi Automotiv...,Public,Dublin + 15 more,51-200 Employees (India),4.1,185,28 years old
2678,Sundaram Auto Co...,Public,"Bhiwadi,Rajasthan + 11 more",501-1k Employees (India),4.1,185,42 years old
2679,Rheinmetall Auto...,Private,Neckarlsum + 12 more,51-200 Employees (India),4.1,185,113 years old
2680,Eastman Chemical...,"Mumbai,Maharashtra + 2 more",72 years old,,4.6,185,501-1k Employees (India)
2681,Sundaram Busines...,Private,Chennai + 6 more,501-1k Employees (India),3.5,185,21 years old
2682,CPM India Sales ...,Private,New Delhi + 32 more,501-1k Employees (India),4.3,185,14 years old
2683,Patil Group,Hyderabad + 28 more,89 years old,,3.9,185,11-50 Employees (India)
2684,Kandhari Beverag...,Private,"Chandigarh,Chandigarh + 17 more",201-500 Employees (India),3.9,185,55 years old
2685,Wallace Pharmace...,Private,"Panaji/Panjim,Goa + 30 more",1k-5k Employees (India),3.7,185,54 years old
2686,Micro Focus,Private,"Newbury,West Berkshire + 5 more",1k-5k Employees (India),4.1,185,46 years old
2687,Costa Cruise Lin...,Private,Genoa + 9 more,51-200 Employees (India),4.5,185,74 years old
2688,Sri Sri Tattva,Private,"Bangalore/Bengaluru,Karnataka + 29 more",201-500 Employees (India),3.8,185,19 years old
2689,Novac Technology...,Private,"Chennai,Tamil Nadu + 13 more",1k-5k Employees (India),3.9,185,16 years old
2690,Weddingz.in,Private,"Mumbai,Maharashtra + 29 more",501-1k Employees (India),3.1,184,7 years old
2691,5paisa Capital,Public,"Thane,Maharashtra + 6 more",501-1k Employees (India),3.9,184,7 years old
2692,Pon Pure Chemica...,Private,"Chennai,Tamil Nadu + 29 more",1k-5k Employees (India),4.1,184,41 years old
2693,Al Ahleia Switch...,Private,Safat + 6 more,1k-5k Employees (India),3.6,184,40 years old
2694,IDS Infotech,Public,Mohali + 8 more,1k-5k Employees (India),3.2,184,33 years old
2695,CallHealth,Private,"Hyderabad,Telangana + 14 more",51-200 Employees (India),3.7,184,9 years old
2696,Faasos Food Serv...,Private,"Pune,Maharashtra + 16 more",1k-5k Employees (India),3.7,184,12 years old
2697,Athenahealth Tec...,Private,"Sydney,New South Wales + 5 more",1k-5k Employees (India),4.4,184,25 years old
2698,Bird Worldwide F...,Private,New Delhi + 8 more,1k-5k Employees (India),3.7,184,23 years old
2699,CallHealth,Private,"Hyderabad,Telangana + 14 more",51-200 Employees (India),3.7,184,9 years old
2700,Bird Worldwide F...,Private,New Delhi + 8 more,1k-5k Employees (India),3.7,184,23 years old
2701,Vistara,Private,"Delhi,NCT + 17 more",1k-5k Employees (India),3.3,184,9 years old
2702,Alcon,Public,"Fort Worth,Texas + 27 more",1k-5k Employees (India),4.3,184,77 years old
2703,Faasos Food Serv...,Private,"Pune,Maharashtra + 16 more",1k-5k Employees (India),3.7,184,12 years old
2704,Juniper Networks,Private,"Sunnyvale,California + 4 more",1k-5k Employees (India),4.3,184,26 years old
2705,Pegasystems,Private,"Cambridge,Massachusetts + 3 more",1k-5k Employees (India),3.8,184,39 years old
2706,Huntsman Interna...,Private,Texas + 21 more,501-1k Employees (India),4.3,184,52 years old
2707,Alembic,Vadodara + 24 more,,,4.1,2.1k,
