,name,co_type,co_hq,No_employee,ratings,reviews,year_old
337,Sobha,Public,"Bangalore/Bengaluru,Karnataka + 34 more",1k-5k Employees (India),4.0,1.2k,27 years old
338,TVS Credit Servi...,Public,"Chennai,Tamil Nadu + 197 more",10k-50k Employees (India),4.3,1.2k,14 years old
339,Shriram City,Public,"Chennai,Tamil Nadu + 341 more",10k-50k Employees (India),4.1,1.2k,36 years old
340,Indiabulls,Public,"Gurgaon/Gurugram,Haryana + 141 more",10k-50k Employees (India),3.8,3.9k,22 years old
341,JK Tyres,Private,New Delhi + 107 more,1k-5k Employees (India),3.9,1.2k,71 years old
342,Reliance SMSL,Public,Mumbai + 308 more,1k-5k Employees (India),4.1,1.2k,15 years old
343,Saint-Gobain,Private,Paris + 69 more,10k-50k Employees (India),4.1,1.3k,357 years old
344,Whirlpool,Public,"Gurgaon/Gurugram,Haryana + 110 more",5k-10k Employees (India),4.3,1.2k,20 years old
345,V-mart,Public,"Gurgaon/Gurugram,Haryana + 191 more",5k-10k Employees (India),4.4,1.2k,20 years old
346,CG Power and Ind...,Public,"Mumbai,Maharashtra + 87 more",1k-5k Employees (India),3.9,1.2k,85 years old
347,Indus Towers,Private,"Gurgaon,Haryana + 97 more",5k-10k Employees (India),4.1,1.2k,15 years old
348,Tech Mahindra Bu...,Public,"Mumbai,Maharashtra + 31 more",1k-5k Employees (India),3.6,1.2k,19 years old
349,Parle Agro,Private,"Mumbai,Maharashtra + 131 more",1k-5k Employees (India),4.3,1.2k,38 years old
350,3i Infotech,Public,"Mumbai,Maharashtra + 82 more",5k-10k Employees (India),3.7,1.2k,29 years old
351,DS Group,Private,"Noida,Uttar Pradesh + 120 more",1k-5k Employees (India),4.1,1.3k,93 years old
352,GE,Private,"Boston,Massachusetts + 53 more",10k-50k Employees (India),4.2,2.8k,130 years old
353,Shree Cement,Public,"Kolkata,West Bengal + 131 more",5k-10k Employees (India),4.3,1.2k,43 years old
354,GVK Emergency Ma...,Private,"Hyderabad/Secunderabad,Telangana + 103 more",10k-50k Employees (India),3.8,1.2k,17 years old
355,Paras Hospital,Private,"Gurgaon/Gurugram,Haryana + 25 more",1k-5k Employees (India),4.7,1.2k,16 years old
356,Tata Motors Fina...,Private,"Mumbai,Maharashtra + 202 more",1k-5k Employees (India),4.3,1.2k,65 years old
357,Reliance Trends,Private,"Navi Mumbai,Maharashtra + 243 more",1 Lakh+ Employees (India),4.3,1.2k,16 years old
358,Bharti AXA Life ...,Private,Mumbai + 194 more,5k-10k Employees (India),3.9,1.2k,16 years old
359,Datamatics Globa...,Public,Mumbai + 23 more,1k-5k Employees (India),3.7,1.6k,47 years old
360,State Street Cor...,Private,"Boston,Massachusetts + 12 more",10k-50k Employees (India),3.8,1.3k,230 years old
361,Lodha group,Private,"Mumbai,Maharashtra + 17 more",1k-5k Employees (India),4.2,1.1k,42 years old
362,Sterlite Technol...,Public,"Pune,Maharashtra + 52 more",5k-10k Employees (India),4.2,1.1k,34 years old
363,SRF,Public,"Gurgaon/Gurugram,Haryana + 40 more",1k-5k Employees (India),4.3,1.7k,52 years old
364,Delphi TVS,Private,"Kanchipuram,Tamil Nadu + 24 more",1k-5k Employees (India),4.0,1.1k,33 years old
365,Myntra,Private,"Bangalore,Karnataka + 82 more",5k-10k Employees (India),4.2,1.2k,15 years old
366,BT Group,Private,London + 12 more,10k-50k Employees (India),4.3,2.4k,176 years old
367,ICICI Securities,Public,"Mumbai,Maharashtra + 98 more",5k-10k Employees (India),3.7,1.1k,27 years old
368,Gabriel India,Public,"Pune,Maharashtra + 33 more",1k-5k Employees (India),4.3,1.1k,61 years old
369,IKS Health,Private,"Mumbai,Maharashtra + 9 more",1k-5k Employees (India),3.5,1.1k,15 years old
370,Yamaha Motor,Private,"Iwata,Shizuoka + 103 more",1k-5k Employees (India),3.9,1.2k,15 years old
371,Sigma Electric M...,Private,"Garner,North Carolina + 18 more",1k-5k Employees (India),3.9,1.1k,40 years old
